,Principal,terms,age,Gender,weekend,loan_status,Bechalor,High School or Below,college
0,1000,30,45,0,0,PAIDOFF,0,1,0
1,1000,30,33,1,0,PAIDOFF,1,0,0
2,1000,15,27,0,0,PAIDOFF,0,0,1
3,1000,30,28,1,1,PAIDOFF,0,0,1
4,1000,30,29,0,1,PAIDOFF,0,0,1
5,1000,30,36,0,1,PAIDOFF,0,0,1
6,1000,30,28,0,1,PAIDOFF,0,0,1
7,800,15,26,0,1,PAIDOFF,0,0,1
8,300,7,29,0,1,PAIDOFF,0,0,1
9,1000,15,39,0,1,PAIDOFF,0,1,0
10,1000,30,26,0,1,PAIDOFF,0,0,1
11,900,7,26,1,1,PAIDOFF,0,0,1
12,1000,7,27,0,1,PAIDOFF,0,1,0
13,800,15,26,0,1,PAIDOFF,0,0,1
14,1000,30,40,0,1,PAIDOFF,0,1,0
15,1000,15,32,0,1,PAIDOFF,0,1,0
16,1000,30,32,0,1,PAIDOFF,0,1,0
17,800,30,26,0,1,PAIDOFF,0,0,1
18,1000,30,26,0,1,PAIDOFF,0,0,1
19,1000,30,25,0,1,PAIDOFF,0,1,0
20,1000,15,26,0,1,PAIDOFF,0,0,1
21,1000,30,29,0,1,PAIDOFF,0,1,0
22,800,15,39,0,1,PAIDOFF,1,0,0
23,1000,15,34,0,1,PAIDOFF,1,0,0
24,1000,30,31,0,1,PAIDOFF,0,0,1
25,1000,30,33,0,1,PAIDOFF,0,0,1
26,800,15,33,0,1,PAIDOFF,0,1,0
27,1000,30,37,0,1,PAIDOFF,0,0,1
28,1000,30,27,0,1,PAIDOFF,0,0,1
29,1000,30,37,0,1,PAIDOFF,0,0,1
30,800,15,33,0,1,PAIDOFF,0,0,1
31,1000,30,27,0,1,PAIDOFF,0,1,0
32,1000,30,21,0,1,PAIDOFF,1,0,0
33,1000,15,32,1,1,PAIDOFF,0,0,1
34,800,15,30,0,1,PAIDOFF,0,0,1
35,1000,7,31,0,1,PAIDOFF,1,0,0
36,1000,15,30,0,1,PAIDOFF,0,0,1
37,1000,15,24,1,1,PAIDOFF,1,0,0
38,800,7,35,0,1,PAIDOFF,0,1,0
39,1000,30,22,0,1,PAIDOFF,0,1,0
40,1000,30,32,0,1,PAIDOFF,0,0,1
41,800,15,50,0,1,PAIDOFF,0,1,0
42,1000,30,35,1,1,PAIDOFF,1,0,0
43,800,15,35,1,1,PAIDOFF,1,0,0
44,1000,30,34,0,1,PAIDOFF,0,1,0
45,1000,30,21,0,1,PAIDOFF,0,1,0
46,1000,15,25,0,1,PAIDOFF,0,0,1
47,1000,30,27,0,1,PAIDOFF,0,1,0
48,1000,30,26,0,1,PAIDOFF,1,0,0
49,800,15,44,1,1,PAIDOFF,0,1,0
50,800,15,39,0,1,PAIDOFF,0,0,0
51,1000,30,34,0,1,PAIDOFF,1,0,0
52,1000,30,34,0,1,PAIDOFF,0,1,0
53,1000,30,45,0,1,PAIDOFF,0,0,1
54,900,15,28,0,1,PAIDOFF,0,0,1
55,1000,30,28,0,1,PAIDOFF,1,0,0
56,1000,30,37,0,1,PAIDOFF,0,1,0
57,1000,30,43,0,1,PAIDOFF,1,0,0
58,800,15,29,0,1,PAIDOFF,0,0,1
59,800,15,29,0,1,PAIDOFF,0,1,0
60,1000,30,33,1,1,PAIDOFF,1,0,0
61,1000,15,34,0,1,PAIDOFF,0,0,1
62,1000,15,25,0,1,PAIDOFF,0,0,1
63,1000,30,30,0,1,PAIDOFF,0,1,0
64,1000,30,35,0,1,PAIDOFF,0,0,1
65,1000,30,44,1,1,PAIDOFF,0,1,0
